customer_id,archetype,region,signup_date
CUST000001,lapsed,West,2025-08-10
CUST000002,occasional,West,2025-09-16
CUST000003,lapsed,South,2026-06-11
CUST000004,one_and_done,South,2026-05-09
CUST000005,loyal,Central,2025-06-10
CUST000006,whale,Central,2025-06-28
CUST000007,lapsed,East,2025-07-08
CUST000008,lapsed,South,2026-04-13
CUST000009,loyal,South,2025-08-09
CUST000010,occasional,East,2026-06-19
CUST000011,occasional,East,2026-04-22
CUST000012,lapsed,North,2025-08-16
CUST000013,one_and_done,North,2025-05-26
CUST000014,lapsed,East,2025-04-29
CUST000015,occasional,West,2024-09-12
CUST000016,occasional,North,2024-12-11
CUST000017,one_and_done,East,2025-11-08
CUST000018,loyal,North,2025-01-30
CUST000019,lapsed,South,2026-05-26
CUST000020,one_and_done,West,2024-12-08
CUST000021,lapsed,South,2025-11-03
CUST000022,occasional,South,2025-02-14
CUST000023,whale,Central,2024-09-20
CUST000024,lapsed,North,2025-03-26
CUST000025,lapsed,North,2024-10-25
CUST000026,loyal,Central,2026-07-24
CUST000027,occasional,East,2026-04-03
CUST000028,champion,North,2025-05-19
CUST000029,loyal,East,2025-07-18
CUST000030,one_and_done,East,2026-05-08
CUST000031,one_and_done,South,2025-03-16
CUST000032,whale,East,2026-06-20
CUST000033,occasional,West,2024-09-06
CUST000034,occasional,South,2026-04-13
CUST000035,occasional,Central,2025-09-23
CUST000036,loyal,East,2025-01-01
CUST000037,loyal,Central,2025-08-06
CUST000038,occasional,North,2025-02-26
CUST000039,occasional,South,2025-03-26
CUST000040,one_and_done,West,2024-10-05
CUST000041,occasional,Central,2025-09-10
CUST000042,lapsed,South,2024-09-14
CUST000043,one_and_done,Central,2025-08-04
CUST000044,occasional,North,2024-11-13
CUST000045,lapsed,East,2025-03-06
CUST000046,lapsed,South,2026-04-29
CUST000047,occasional,East,2025-05-07
CUST000048,occasional,Central,2024-11-24
CUST000049,one_and_done,West,2026-05-03
CUST000050,loyal,West,2024-12-21
CUST000051,loyal,South,2026-05-19
CUST000052,champion,Central,2024-11-29
CUST000053,lapsed,East,2025-01-25
CUST000054,one_and_done,West,2026-04-16
CUST000055,one_and_done,West,2025-03-10
CUST000056,lapsed,West,2026-05-11
CUST000057,occasional,West,2025-06-29
CUST000058,one_and_done,East,2024-10-23
CUST000059,loyal,West,2026-03-09
CUST000060,loyal,Central,2026-04-01
CUST000061,one_and_done,South,2025-10-08
CUST000062,occasional,East,2025-11-15
CUST000063,one_and_done,North,2026-06-28
CUST000064,lapsed,South,2025-09-15
CUST000065,one_and_done,West,2026-01-31
CUST000066,one_and_done,West,2026-05-05
CUST000067,one_and_done,South,2026-01-19
CUST000068,occasional,East,2026-07-17
CUST000069,champion,Central,2024-10-29
CUST000070,occasional,North,2024-09-04
CUST000071,occasional,North,2025-11-16
CUST000072,occasional,South,2024-11-25
CUST000073,lapsed,West,2025-09-12
CUST000074,occasional,South,2024-10-31
CUST000075,champion,Central,2026-04-01
CUST000076,occasional,Central,2026-01-13
CUST000077,occasional,East,2025-03-01
CUST000078,one_and_done,South,2026-02-27
CUST000079,one_and_done,North,2025-01-01
CUST000080,lapsed,Central,2025-10-06
CUST000081,one_and_done,Central,2025-10-22
CUST000082,occasional,East,2025-09-17
CUST000083,lapsed,East,2025-01-19
CUST000084,loyal,West,2026-07-28
CUST000085,champion,West,2025-02-21
CUST000086,loyal,North,2025-02-01
CUST000087,one_and_done,West,2025-01-03
