order_id,customer_id,order_date,amount,channel,region
ORD0014691,,2026-03-19,84.26,Mobile App,South
ORD0004739,CUST001003,2025-06-13,147.97,Marketplace,West
ORD0007950,CUST001712,2026-03-16,35.13,Marketplace,Central
ORD0012604,CUST002748,2025-04-01,71.9,Marketplace,East
ORD0014586,CUST003167,2026-01-24,152.6,Mobile App,Central
ORD0008716,CUST001894,2024-09-23,53.29,Store,East
ORD0009724,CUST002100,2025-07-24,32.52,Mobile App,Central
ORD0012968,CUST002821,2025-09-12,36.33,Store,Central
ORD0003571,CUST000763,2026-04-19,79.83,Store,West
ORD0000734,CUST000153,2026-08-26,43.19,Web,East
ORD0010209,CUST002203,2025-01-27,23.45,Web,Central
ORD0001347,CUST000273,2025-11-06,88.77,Store,North
ORD0011291,CUST002427,2024-09-16,88.98,Marketplace,West
ORD0015694,CUST003380,2026-01-04,376.32,Mobile App,Central
ORD0016148,CUST003484,2026-06-15,8.3,Web,West
ORD0005549,CUST001188,2024-12-16,663.13,Marketplace,South
ORD0015789,CUST003401,2025-01-20,21.74,Store,South
ORD0000043,CUST000009,2026-02-21,226.62,Mobile App,South
ORD0002233,CUST000469,2025-09-19,-70.39,Web,West
ORD0015658,CUST003373,2025-05-25,136.86,Store,West
ORD0000252,CUST000052,2026-09-09,99.46,Store,Central
ORD0013514,CUST002938,2025-10-20,45.75,Mobile App,East
ORD0011935,CUST002583,2025-07-15,133.32,Web,West
ORD0009937,CUST002144,2025-04-25,35.51,Marketplace,South
ORD0009934,CUST002143,2025-02-19,24.85,Web,East
ORD0017066,CUST003695,2024-09-01,13.51,Marketplace,Central
ORD0004072,CUST000865,2024-09-29,85.01,Store,Central
ORD0004167,CUST000887,2025-08-17,70.6,Store,West
ORD0015764,CUST003397,2025-02-15,90.89,Store,West
ORD0002938,CUST000626,2026-01-24,35.24,Mobile App,South
ORD0013101,CUST002854,2026-06-15,11.89,Web,Central
ORD0015665,CUST003374,2025-07-12,104.19,Store,North
ORD0016505,CUST003576,2025-10-17,26.94,Mobile App,Central
ORD0015643,CUST003370,2026-03-29,11.68,Marketplace,East
ORD0007454,CUST001597,2025-02-17,117.29,Store,West
ORD0006609,CUST001411,2025-09-15,86.33,Store,Central
ORD0000424,CUST000089,2025-04-28,101.63,Store,West
ORD0017822,CUST003876,2025-10-14,27.28,Mobile App,South
ORD0012619,CUST002750,2025-01-06,158.77,Marketplace,West
ORD0014223,CUST003100,2025-05-05,57.79,Store,East
ORD0012316,CUST002683,2026-07-08,39.7,Web,West
ORD0016898,CUST003660,2026-04-21,362.98,Mobile App,West
ORD0003078,CUST000658,2025-09-25,41.12,Mobile App,Central
ORD0005588,CUST001196,2026-07-12,90.13,Store,North
ORD0007542,CUST001619,2026-03-15,,Store,East
ORD0004619,CUST000980,2026-04-21,77.11,Web,East
ORD0013469,CUST002923,2025-06-28,124.74,Store,West
ORD0007156,CUST001526,2025-03-23,134.99,Marketplace,Central
ORD0014715,CUST003189,2026-06-06,49.06,Store,Central
ORD0006794,CUST001445,2025-10-22,51.53,Web,West
ORD0011456,CUST002478,2025-05-16,78.37,Store,East
ORD0017443,CUST003788,2024-09-16,94.07,Mobile App,Central
ORD0004654,CUST000985,2025-03-10,174.47,Mobile App,South
ORD0017075,CUST003698,2026-03-16,103.37,Store,North
ORD0009280,CUST002013,2026-08-21,123.39,Store,West
ORD0008370,CUST001810,2026-03-25,50.2,Store,West
ORD0016489,CUST003573,2026-04-09,48.09,Mobile App,Central
ORD0012927,CUST002814,2026-03-27,68.77,Web,South
ORD0002326,CUST000488,2026-05-03,77.42,Marketplace,East
ORD0007937,CUST001708,2026-04-10,,Web,North
ORD0010313,,2024-11-21,10.32,Marketplace,South
