segment,customers,avg_recency_days,avg_frequency,avg_monetary,total_monetary,pct_of_customers,pct_of_revenue,recommended_action
Champions,1111,41.27,9.88,1984.54,2204820.29,26.8,84.5,Reward with early access / loyalty perks; ask for referrals & reviews.
Loyal Customers,261,151.54,5.75,387.92,101246.76,6.3,3.9,Upsell higher-value products; enrol in loyalty programme.
At Risk,304,388.72,3.76,222.25,67563.88,7.3,2.6,Reach out personally; time-boxed discount to prevent churn.
Potential Loyalists,300,68.64,2.99,224.89,67467.59,7.2,2.6,Offer membership / subscription; personalised follow-up after purchase.
Need Attention,305,234.74,3.25,191.9,58528.16,7.3,2.2,Limited-time win-back offer; recommend based on past purchases.
About To Sleep,552,345.96,1.21,62.7,34613.08,13.3,1.3,Re-engagement email with personalised recommendations before they go cold.
Promising,302,165.36,1.49,86.49,26120.77,7.3,1.0,Nurture with targeted content; small incentive to drive a second order.
Lost,487,592.29,1.0,51.08,24874.63,11.7,1.0,Deprioritise spend; include only in broad low-cost re-engagement blasts.
Hibernating,193,529.23,2.47,74.93,14461.22,4.7,0.6,Low-cost reactivation campaign; survey to learn why they stopped buying.
New Customers,147,60.28,1.0,55.28,8126.63,3.5,0.3,Onboard well; send a strong second-purchase incentive within 30 days.
No Purchase History,188,,0.0,0.0,0.0,4.5,0.0,Investigate: no purchase history -- confirm signup funnel / re-engage with welcome offer.
